"","obese","gender","age","marriage","min"
"245",0,0,60,2,120
"246",0,0,57,1,360
"247",0,1,21,1,480
"248",0,1,76,2,300
"249",0,0,73,1,120
"250",0,1,80,1,720
"251",1,1,29,1,240
"252",0,1,40,1,420
"253",1,1,33,1,180
"254",1,0,44,5,600
"255",0,1,62,1,60
"256",0,1,47,1,480
"257",0,1,47,1,240
"258",1,0,62,3,300
"259",1,1,80,5,480
"260",0,1,36,1,300
"261",0,1,63,1,180
"262",0,1,62,3,300
"263",0,1,26,1,180
"264",0,0,53,1,240
"265",0,1,53,1,360
"266",0,1,62,3,120
"267",0,1,31,3,540
"268",0,1,66,2,300
"269",0,0,72,1,240
"270",0,0,71,1,180
"271",0,1,62,2,180
"272",0,1,75,1,60
"273",1,1,76,1,60
"274",0,1,74,5,1
"275",0,0,21,1,180
"276",0,0,75,1,240
"277",1,1,47,1,540
"278",0,1,80,1,180
"279",0,0,76,1,180
"280",0,1,80,1,240
"281",0,0,50,1,30
"282",0,1,42,5,360
"283",1,1,74,1,240
"284",1,0,48,5,360
"285",0,0,75,1,180
"286",0,1,39,1,60
"287",0,1,47,1,180
"288",1,1,55,3,180
"289",0,0,59,1,480
"290",0,1,50,3,180
"291",0,1,45,5,360
"292",0,0,80,2,300
"293",0,0,74,1,180
"294",0,0,72,2,360
"295",0,0,30,5,300
"296",0,1,53,1,240
"297",0,0,49,1,90
"298",0,1,35,1,20
"299",0,1,73,1,300
"300",0,0,52,1,360
"301",0,0,28,5,60
"302",0,1,80,2,360
"303",1,0,37,3,240
"304",1,0,46,1,240
"305",0,1,63,2,30
"306",0,0,37,1,240
"307",0,1,40,3,360
"308",0,1,52,1,240
"309",0,0,54,3,180
"310",0,1,70,2,120
"311",0,0,25,5,60
"312",0,0,79,1,240
"313",1,1,25,5,600
"314",0,0,31,1,120
"315",0,1,62,2,180
"316",0,1,56,5,420
"317",0,0,69,2,180
"318",1,1,46,5,180
"319",0,0,40,1,480
"320",0,0,70,3,480
"321",0,0,71,1,300
"322",0,1,49,1,240
"323",1,1,77,5,360
"324",0,0,23,1,300
"325",1,0,36,1,780
"326",0,0,61,1,180
"327",0,0,41,3,720
"328",0,1,43,1,60
"329",0,0,56,1,360
"330",0,1,37,1,60
"331",0,1,20,1,180
"332",0,0,62,1,420
"333",0,0,61,1,180
"334",0,1,60,3,15
"335",1,1,30,3,180
"336",0,1,27,5,720
"337",0,1,26,5,420
"338",0,1,80,2,240
"339",0,0,78,1,240
"340",0,0,60,1,480
"341",0,0,68,1,120
"342",0,0,41,1,480
"343",0,1,62,1,420
"344",0,1,23,1,420
"345",1,0,80,1,600
"346",0,1,53,2,240
"347",0,1,25,5,300
"348",0,0,65,1,180
"349",0,0,57,1,240
"350",0,1,38,1,540
"351",0,0,67,2,240
"352",0,0,22,5,180
"353",0,0,54,5,240
"354",0,0,78,1,300
"355",0,0,21,5,600
"356",0,1,36,1,300
"357",0,0,40,1,180
"358",0,0,69,1,840
"359",0,0,67,1,240
"360",1,1,28,5,180
"361",0,0,68,1,180
"362",0,1,23,1,360
"363",1,1,60,1,240
"364",0,1,68,3,360
"365",0,1,80,2,420
"366",0,1,34,2,120
"367",0,0,73,1,420
"368",0,1,20,5,240
"369",0,0,61,1,480
"370",0,0,53,1,360
"371",0,0,74,1,240
"372",1,0,56,5,360
"373",0,0,59,1,240
"374",0,1,70,5,360
"375",0,1,57,1,240
"376",0,0,65,1,600
"377",0,1,22,5,300
"378",0,1,20,1,300
"379",1,1,70,1,480
"380",0,1,51,1,540
"381",0,1,48,5,120
"382",0,1,43,1,60
"383",0,0,45,1,720
"384",0,1,80,1,180
"385",1,0,62,1,600
"386",0,1,34,5,60
"387",0,1,65,1,120
"388",0,0,80,2,300
"389",1,0,40,1,480
"390",0,0,27,1,360
"391",0,0,48,1,120
